Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Nordrhein-Westfalen,SK Köln,05315,Feature,[object Object]
Nordrhein-Westfalen,SK Remscheid,05120,Feature,[object Object]
Nordrhein-Westfalen,LK Rhein-Kreis Neuss,05162,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Rheinland-Pfalz,LK Germersheim,07334,Feature,[object Object]
Rheinland-Pfalz,LK Cochem-Zell,07135,Feature,[object Object]
Rheinland-Pfalz,LK Bernkastel-Wittlich,07231,Feature,[object Object]
Rheinland-Pfalz,SK Neustadt a.d.Weinstraße,07316,Feature,[object Object]
Rheinland-Pfalz,LK Bad Dürkheim,07332,Feature,[object Object]
Rheinland-Pfalz,LK Kaiserslautern,07335,Feature,[object Object]
Rheinland-Pfalz,LK Rhein-Lahn-Kreis,07141,Feature,[object Object]
Rheinland-Pfalz,SK Frankenthal,07311,Feature,[object Object]
Rheinland-Pfalz,SK Landau i.d.Pfalz,07313,Feature,[object Object]
Rheinland-Pfalz,SK Ludwigshafen,07314,Feature,[object Object]
Rheinland-Pfalz,LK Alzey-Worms,07331,Feature,[object Object]
Rheinland-Pfalz,SK Mainz,07315,Feature,[object Object]
Rheinland-Pfalz,LK Rhein-Pfalz-Kreis,07338,Feature,[object Object]
Rheinland-Pfalz,LK Birkenfeld,07134,Feature,[object Object]
Rheinland-Pfalz,LK Mainz-Bingen,07339,Feature,[object Object]
Rheinland-Pfalz,LK Rhein-Hunsrück-Kreis,07140,Feature,[object Object]
Rheinland-Pfalz,LK Trier-Saarburg,07235,Feature,[object Object]
Rheinland-Pfalz,SK Pirmasens,07317,Feature,[object Object]
Rheinland-Pfalz,LK Bad Kreuznach,07133,Feature,[object Object]
Rheinland-Pfalz,SK Koblenz,07111,Feature,[object Object]
Rheinland-Pfalz,LK Vulkaneifel,07233,Feature,[object Object]
Rheinland-Pfalz,SK Worms,07319,Feature,[object Object]
Rheinland-Pfalz,SK Trier,07211,Feature,[object Object]
Rheinland-Pfalz,LK Donnersbergkreis,07333,Feature,[object Object]
Rheinland-Pfalz,LK Ahrweiler,07131,Feature,[object Object]
Rheinland-Pfalz,SK Kaiserslautern,07312,Feature,[object Object]
Rheinland-Pfalz,LK Kusel,07336,Feature,[object Object]
Rheinland-Pfalz,SK Zweibrücken,07320,Feature,[object Object]
Rheinland-Pfalz,SK Speyer,07318,Feature,[object Object]
Rheinland-Pfalz,LK Bitburg-Prüm,07232,Feature,[object Object]
Rheinland-Pfalz,LK Westerwaldkreis,07143,Feature,[object Object]
Rheinland-Pfalz,LK Altenkirchen,07132,Feature,[object Object]
Rheinland-Pfalz,LK Mayen-Koblenz,07137,Feature,[object Object]
Rheinland-Pfalz,LK Neuwied,07138,Feature,[object Object]
Rheinland-Pfalz,LK Südwestpfalz,07340,Feature,[object Object]
Rheinland-Pfalz,LK Südliche Weinstraße,07337,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Saarland,LK Sankt Wendel,10046,Feature,[object Object]
Saarland,LK Merzig-Wadern,10042,Feature,[object Object]
Saarland,LK Saarlouis,10044,Feature,[object Object]
Saarland,LK Stadtverband Saarbrücken,10041,Feature,[object Object]
Saarland,LK Neunkirchen,10043,Feature,[object Object]
Saarland,LK Saar-Pfalz-Kreis,10045,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Sachsen,LK Meißen,14627,Feature,[object Object]
Sachsen,LK Sächsische Schweiz-Osterzgebirge,14628,Feature,[object Object]
Sachsen,LK Leipzig,14729,Feature,[object Object]
Sachsen,LK Nordsachsen,14730,Feature,[object Object]
Sachsen,SK Chemnitz,14511,Feature,[object Object]
Sachsen,SK Leipzig,14713,Feature,[object Object]
Sachsen,LK Erzgebirgskreis,14521,Feature,[object Object]
Sachsen,LK Mittelsachsen,14522,Feature,[object Object]
Sachsen,LK Görlitz,14626,Feature,[object Object]
Sachsen,SK Dresden,14612,Feature,[object Object]
Sachsen,LK Bautzen,14625,Feature,[object Object]
Sachsen,LK Vogtlandkreis,14523,Feature,[object Object]
Sachsen,LK Zwickau,14524,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Sachsen-Anhalt,LK Salzlandkreis,15089,Feature,[object Object]
Sachsen-Anhalt,SK Magdeburg,15003,Feature,[object Object]
Sachsen-Anhalt,LK Burgenlandkreis,15084,Feature,[object Object]
Sachsen-Anhalt,LK Stendal,15090,Feature,[object Object]
Sachsen-Anhalt,LK Mansfeld-Südharz,15087,Feature,[object Object]
Sachsen-Anhalt,LK Jerichower Land,15086,Feature,[object Object]
Sachsen-Anhalt,LK Börde,15083,Feature,[object Object]
Sachsen-Anhalt,LK Harz,15085,Feature,[object Object]
Sachsen-Anhalt,SK Halle,15002,Feature,[object Object]
Sachsen-Anhalt,LK Saalekreis,15088,Feature,[object Object]
Sachsen-Anhalt,LK Altmarkkreis Salzwedel,15081,Feature,[object Object]
Sachsen-Anhalt,LK Wittenberg,15091,Feature,[object Object]
Sachsen-Anhalt,SK Dessau-Roßlau,15001,Feature,[object Object]
Sachsen-Anhalt,LK Anhalt-Bitterfeld,15082,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Thüringen,LK Kyffhäuserkreis,16065,Feature,[object Object]
Thüringen,LK Eichsfeld,16061,Feature,[object Object]
Thüringen,LK Sömmerda,16068,Feature,[object Object]
Thüringen,LK Unstrut-Hainich-Kreis,16064,Feature,[object Object]
Thüringen,LK Hildburghausen,16069,Feature,[object Object]
Thüringen,SK Erfurt,16051,Feature,[object Object]
Thüringen,SK Eisenach,16056,Feature,[object Object]
Thüringen,LK Weimarer Land,16071,Feature,[object Object]
Thüringen,SK Jena,16053,Feature,[object Object]
Thüringen,LK Altenburger Land,16077,Feature,[object Object]
Thüringen,LK Wartburgkreis,16063,Feature,[object Object]
Thüringen,LK Gotha,16067,Feature,[object Object]
Thüringen,LK Saale-Holzland-Kreis,16074,Feature,[object Object]
Thüringen,LK Ilm-Kreis,16070,Feature,[object Object]
Thüringen,LK Nordhausen,16062,Feature,[object Object]
Thüringen,SK Suhl,16054,Feature,[object Object]
Thüringen,LK Schmalkalden-Meiningen,16066,Feature,[object Object]
Thüringen,SK Weimar,16055,Feature,[object Object]
Thüringen,SK Gera,16052,Feature,[object Object]
Thüringen,LK Saale-Orla-Kreis,16075,Feature,[object Object]
Thüringen,LK Greiz,16076,Feature,[object Object]
Thüringen,LK Sonneberg,16072,Feature,[object Object]
Thüringen,LK Saalfeld-Rudolstadt,16073,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Schleswig-Holstein,LK Rendsburg-Eckernförde,01058,Feature,[object Object]
Schleswig-Holstein,SK Lübeck,01003,Feature,[object Object]
Schleswig-Holstein,LK Ostholstein,01055,Feature,[object Object]
Schleswig-Holstein,LK Plön,01057,Feature,[object Object]
Schleswig-Holstein,LK Segeberg,01060,Feature,[object Object]
Schleswig-Holstein,LK Nordfriesland,01054,Feature,[object Object]
Schleswig-Holstein,SK Neumünster,01004,Feature,[object Object]
Schleswig-Holstein,LK Pinneberg,01056,Feature,[object Object]
Schleswig-Holstein,LK Stormarn,01062,Feature,[object Object]
Schleswig-Holstein,SK Flensburg,01001,Feature,[object Object]
Schleswig-Holstein,LK Schleswig-Flensburg,01059,Feature,[object Object]
Schleswig-Holstein,SK Kiel,01002,Feature,[object Object]
Schleswig-Holstein,LK Steinburg,01061,Feature,[object Object]
Schleswig-Holstein,LK Dithmarschen,01051,Feature,[object Object]
Schleswig-Holstein,LK Herzogtum Lauenburg,01053,Feature,[object Object]
